one,two,three,four,five
499,咨询,zī xún,"1. to consult
2. to seek advice
3. consultation
4. (sales) inquiry (formal)
",12
500,咬,yǎo,"1. to bite
2. to nip
3. variant of 咬[yao3]
",3
501,咱们,zán men,"1. we or us (including both the speaker and the person(s) spoken to)
2. (dialect) I or me
3. (dialect) (in a coaxing or familiar way) you
4. also pr. [za2 men5]
",20
502,咸,xián,"1. surname Xian
2. all
3. everyone
4. each
5. widespread
6. harmonious
7. salted
8. salty
9. stingy
10. miserly
",2
503,哆嗦,duō suo,"1. to tremble
2. to shiver
3. uncontrolled shaking of the body
",10
504,哈,Hā,"1. abbr. for 哈薩克斯坦|哈萨克斯坦[Ha1 sa4 ke4 si1 tan3], Kazakhstan
2. abbr. for 哈爾濱|哈尔滨[Ha1 er3 bin1], Harbin
3. laughter
4. yawn
5. a Pekinese
6. a pug
7. (dialect) to scold
",1
505,响,xiǎng,"1. echo
2. sound
3. noise
4. to make a sound
5. to sound
6. to ring
7. loud
8. classifier for noises
",3
506,哎,āi,"1. hey!
2. (interjection used to attract attention or to express surprise or disapprobation)
",1
507,哪,nǎ,"1. how
2. which
3. (particle equivalent to 啊 after noun ending in -n)
4. which? (interrogative, followed by classifier or numeral-classifier)
",3
508,哪怕,nǎ pà,"1. even
2. even if
3. even though
4. no matter how
",34
509,哲学,zhé xué,"1. philosophy
2. CL:個|个[ge4]
",22
510,哺乳,bǔ rǔ,"1. breast feeding
2. to suckle
3. to nurse
",33
511,唉,āi,"1. interjection or grunt of agreement or recognition (e.g. yes, it's me!)
2. to sigh
3. alas
4. oh dear
",1
512,唯一,wéi yī,"1. only
2. sole
",21
513,商业,shāng yè,"1. business
2. trade
3. commerce
",14
514,商务,shāng wù,"1. commercial affairs
2. commercial
3. commerce
4. business
",14
515,商品,shāng pǐn,"1. good
2. commodity
3. merchandise
4. CL:個|个[ge4]
",13
516,商量,shāng liang,"1. to consult
2. to talk over
3. to discuss
",10
517,善于,shàn yú,"1. to be good at
2. to be adept at
",42
518,善良,shàn liáng,"1. good and honest
2. kindhearted
",42
519,喊,hǎn,"1. to yell
2. to shout
3. to call out for (a person)
",3
520,喘气,chuǎn qì,"1. to breathe deeply
2. to pant
",34
521,喝,hē,"1. to drink
2. My goodness!
3. to shout loudly
",1
522,嗓子,sǎng zi,"1. throat
2. voice
3. CL:把[ba3]
",30
523,嗯,èn,"1. (a groaning sound)
2. (nonverbal grunt as interjection)
3. OK, yeah
4. what?
5. interjection indicating approval, appreciation or agreement
",4
524,嘈杂,cáo zá,"1. noisy
2. clamorous
",22
525,嘉宾,jiā bīn,"1. esteemed guest
2. honored guest
3. guest (on a show)
",11
526,嘲笑,cháo xiào,"1. to jeer at
2. to deride
3. to ridicule
4. mockery
5. derision
",24
527,回,huí,"1. to circle
2. to go back
3. to turn around
4. to answer
5. to return
6. to revolve
7. Hui ethnic group (Chinese Muslims)
8. time
9. classifier for acts of a play
10. section or chapter (of a classic book)
11. to curve
12. to return
13. to revolve
14. variant of 迴|回[hui2]
",2
528,因此,yīn cǐ,"1. thus
2. consequently
3. as a result
",13
529,因素,yīn sù,"1. element
2. factor
3. CL:個|个[ge4]
",14
530,因而,yīn ér,"1. therefore
2. as a result
3. thus
4. and as a result, ...
",12
531,团,tuán,"1. round
2. lump
3. ball
4. to roll into a ball
5. to gather
6. regiment
7. group
8. society
9. classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke)
10. dumpling
",2
532,围巾,wéi jīn,"1. scarf
2. shawl
3. CL:條|条[tiao2]
",21
533,围绕,wéi rào,"1. to revolve around
2. to center on (an issue)
",24
534,固定,gù dìng,"1. to fix
2. to fasten
3. to set rigidly in place
4. fixed
5. set
6. regular
",44
535,国王,guó wáng,"1. king
2. CL:個|个[ge4]
",22
536,圆,yuán,"1. circle
2. round
3. circular
4. spherical
5. (of the moon) full
6. unit of Chinese currency (Yuan)
7. tactful
8. to justify
",2
537,圈,quān,"1. to confine
2. to lock up
3. to pen in
4. pen (pig)
5. a fold
6. circle
7. ring
8. loop
9. classifier for loops, orbits, laps of race etc
10. CL:個|个[ge4]
11. to surround
12. to circle
",1
538,土地,tǔ dì,"1. land
2. soil
3. territory
4. CL:片[pian4],塊|块[kuai4]
5. local god
6. genius loci
",34
539,土豆,tǔ dòu,"1. potato
2. CL:個|个[ge4]
3. (Tw) peanut
4. CL:顆|颗[ke1]
",34
540,在乎,zài hu,"1. to care about
2. equivalent of 在於|在于[zai4 yu2]
",40
541,在于,zài yú,"1. to be in
2. to lie in
3. to consist in
4. to depend on
5. to rest with
",42
542,地位,dì wèi,"1. position
2. status
3. place
4. CL:個|个[ge4]
",44
543,地势,dì shì,"1. terrain
2. topography relief
",44
544,地区,dì qū,"1. local
2. regional
3. district (not necessarily formal administrative unit)
4. region
5. area
6. as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city)
7. CL:個|个[ge4]
",41
545,地步,dì bù,"1. condition
2. situation
3. plight
4. extent
5. room for action
",44
546,地毯,dì tǎn,"1. carpet
2. rug
",43
547,地理,dì lǐ,"1. geography
",43
548,地质,dì zhì,"1. geology
",44
549,地道,dì dào,"1. tunnel
2. causeway
3. authentic
4. genuine
5. typical
6. from a place known for the product
7. thorough
8. conscientious
",44
550,地震,dì zhèn,"1. earthquake
",44
551,场合,chǎng hé,"1. situation
2. occasion
3. context
4. setting
5. location
6. venue
",32
552,场所,chǎng suǒ,"1. location
2. place
",33
553,场面,chǎng miàn,"1. scene
2. spectacle
3. occasion
4. situation
",34
554,均匀,jūn yún,"1. even
2. well-distributed
3. homogeneous
4. well-proportioned (figure, body etc)
",12
555,坚决,jiān jué,"1. firm
2. resolute
3. determined
",12
556,坚强,jiān qiáng,"1. staunch
2. strong
",12
557,坦率,tǎn shuài,"1. frank (discussion)
2. blunt
3. open
",34
558,垂直,chuí zhí,"1. perpendicular
2. vertical
",22
559,垫,diàn,"1. pad
2. cushion
3. mat
4. to pad out
5. to fill a gap
6. to pay for sb
7. to advance (money)
",4
560,城堡,chéng bǎo,"1. castle
2. rook (chess piece)
",23
561,培养,péi yǎng,"1. to cultivate
2. to breed
3. to foster
4. to nurture
5. to educate
6. to groom (for a position)
7. education
8. fostering
9. culture (biology)
",23
562,培训,péi xùn,"1. to cultivate
2. to train
3. to groom
4. training
",24
563,基本,jī běn,"1. basic
2. fundamental
3. main
4. elementary
",13
564,堆,duī,"1. to pile up
2. to heap up
3. a mass
4. pile
5. heap
6. stack
7. large amount
",1
565,堆积,duī jī,"1. to pile up
2. to heap
3. accumulation
",11
566,堕落,duò luò,"1. to degrade
2. to degenerate
3. to become depraved
4. corrupt
5. a fall from grace
",44
567,堤坝,dī bà,"1. dam
",14
568,堵塞,dǔ sè,"1. to block
2. to stop
3. blockage
",34
569,填空,tián kòng,"1. to fill a job vacancy
2. to fill in a blank (e.g. on questionnaire or exam paper)
",24
570,墙,qiáng,"1. variant of 牆|墙[qiang2], wall
2. wall
3. CL:面[mian4],堵[du3]
",2
571,增加,zēng jiā,"1. to raise
2. to increase
",11
572,士兵,shì bīng,"1. soldier
2. CL:個|个[ge4]
",41
573,声调,shēng diào,"1. tone
2. note
3. a tone (on a Chinese syllable)
4. CL:個|个[ge4]
",14
574,壶,hú,"1. pot
2. classifier for bottled liquid
",2
575,处分,chǔ fèn,"1. to discipline sb
2. to punish
3. disciplinary action
4. to deal with (a matter)
5. CL:個|个[ge4]
",34
576,处境,chǔ jìng,"1. situation (of a person)
",34
577,处理,chǔ lǐ,"1. to handle
2. to treat
3. to deal with
4. to process
5. CL:個|个[ge4]
",33
578,处置,chǔ zhì,"1. to handle
2. to take care of
3. to punish
",34
579,备份,bèi fèn,"1. backup
",44
580,备忘录,bèi wàng lù,"1. memorandum
2. aide-memoire
3. memorandum book
",444
581,复制,fù zhì,"1. to duplicate
2. to make a copy of
3. to copy
4. to reproduce
5. to clone
",44
582,夏令营,xià lìng yíng,"1. summer camp
",442
583,外交,wài jiāo,"1. diplomacy
2. diplomatic
3. foreign affairs
4. CL:個|个[ge4]
",41
584,外公,wài gōng,"1. (coll.) mother's father
2. maternal grandfather
",41
585,多,duō,"1. many
2. much
3. often
4. a lot of
5. numerous
6. more
7. in excess
8. how (to what extent)
9. multi-
10. Taiwan pr. [duo2] when it means ""how""
",1
586,多亏,duō kuī,"1. thanks to
2. luckily
",11
587,多余,duō yú,"1. superfluous
2. unnecessary
3. surplus
",12
588,多少,duō shǎo,"1. number
2. amount
3. somewhat
4. how much
5. how many
6. which (number)
7. as much as
",13
589,夜,yè,"1. variant of 夜[ye4]
2. night
",4
590,大,dà,"1. big
2. huge
3. large
4. major
5. great
6. wide
7. deep
8. older (than)
9. oldest
10. eldest
11. greatly
12. very much
13. (dialect) father
14. father's elder or younger brother
15. see 大夫[dai4 fu5]
",4
591,大体,dà tǐ,"1. in general
2. more or less
3. in rough terms
4. basically
5. on the whole
",43
592,大厦,dà shà,"1. large building
2. edifice
3. mansion
4. CL:座[zuo4]
",44
593,大型,dà xíng,"1. large
2. large-scale
",42
594,大意,dà yì,"1. general idea
2. main idea
3. careless
",44
595,大方,dà fāng,"1. expert
2. scholar
3. mother earth
4. a type of green tea
5. generous
6. magnanimous
7. stylish
8. in good taste
9. easy-mannered
10. natural and relaxed
",41
596,大肆,dà sì,"1. wantonly
2. without restraint (of enemy or malefactor)
3. unbridled
",44
597,大臣,dà chén,"1. chancellor (of a monarchy)
2. cabinet minister
",42
598,大致,dà zhì,"1. more or less
2. roughly
3. approximately
",44
599,大象,dà xiàng,"1. elephant
2. CL:隻|只[zhi1]
",44
600,天真,tiān zhēn,"1. naive
2. innocent
3. artless
",11
601,天空,tiān kōng,"1. sky
",11
602,太太,tài tai,"1. married woman
2. Mrs.
3. Madam
4. wife
5. CL:個|个[ge4],位[wei4]
",40
603,太极拳,tài jí quán,"1. shadowboxing or Taiji, T'aichi or T'aichichuan
2. traditional form of physical exercise or relaxation
3. a martial art
",422
604,失业,shī yè,"1. unemployment
2. to lose one's job
",14
605,失去,shī qù,"1. to lose
",14
606,失望,shī wàng,"1. disappointed
2. to lose hope
3. to despair
",14
607,失眠,shī mián,"1. to suffer from insomnia
",12
608,失败,shī bài,"1. to be defeated
2. to lose
3. to fail (e.g. experiments)
4. failure
5. defeat
6. CL:次[ci4]
",14
609,夸,kuā,"1. see 夸克[kua1 ke4]
2. to boast
3. to exaggerate
4. to praise
",1
610,夸张,kuā zhāng,"1. to exaggerate
2. overstated
3. exaggerated
4. hyperbole
5. (coll.) excessive
6. extreme
7. ridiculous
",11
611,夹子,jiā zi,"1. clip
2. clamp
3. tongs
4. folder
5. wallet
",10
612,奇迹,qí jì,"1. miracle
2. miraculous
3. wonder
4. marvel
",24
613,奋斗,fèn dòu,"1. to strive
2. to struggle
",44
614,奔波,bēn bō,"1. to rush about
2. to be constantly on the move
",11
615,奔驰,bēn chí,"1. Benz (name)
2. Mercedes-Benz, German car maker
3. to run quickly
4. to speed
5. to gallop
",12
616,套,tào,"1. to cover
2. to encase
3. cover
4. sheath
5. to overlap
6. to interleave
7. to model after
8. to copy
9. formula
10. harness
11. loop of rope
12. (fig.) to fish for
13. to obtain slyly
14. classifier for sets, collections
15. bend (of a river or mountain range, in place names)
16. tau (Greek letter Ττ)
",4
617,奠定,diàn dìng,"1. to establish
2. to fix
3. to settle
",44
618,奥秘,ào mì,"1. secret
2. mystery
",44
619,女士,nǚ shì,"1. lady
2. madam
3. CL:個|个[ge4],位[wei4]
4. Miss
5. Ms
",34
620,好,hǎo,"1. good
2. well
3. proper
4. good to
5. easy to
6. very
7. so
8. (suffix indicating completion or readiness)
9. (of two people) close
10. on intimate terms
11. to be fond of
12. to have a tendency to
13. to be prone to
",3
621,好奇,hào qí,"1. inquisitive
2. curious
3. inquisitiveness
4. curiosity
",42
622,好客,hào kè,"1. hospitality
2. to treat guests well
3. to enjoy having guests
4. hospitable
5. friendly
",44
623,如今,rú jīn,"1. nowadays
2. now
",21
624,如何,rú hé,"1. how
2. what way
3. what
",22
625,妇女,fù nǚ,"1. woman
",43
626,妈妈,mā ma,"1. mama
2. mommy
3. mother
4. CL:個|个[ge4],位[wei4]
",10
627,妨碍,fáng ài,"1. to hinder
2. to obstruct
",24
628,始终,shǐ zhōng,"1. from beginning to end
2. all along
",31
629,姑姑,gū gu,"1. paternal aunt
2. CL:個|个[ge4]
",10
630,姑娘,gū niang,"1. girl
2. young woman
3. young lady
4. daughter
5. paternal aunt (old)
6. CL:個|个[ge4]
",10
631,委屈,wěi qu,"1. to feel wronged
2. to cause sb to feel wronged
3. grievance
",30
632,姥姥,lǎo lao,"1. (coll.) mother's mother
2. maternal grandmother
",30
633,姿势,zī shì,"1. posture
2. position
",14
634,娱乐,yú lè,"1. to entertain
2. to amuse
3. entertainment
4. recreation
5. amusement
6. hobby
7. fun
8. joy
",24
635,娶,qǔ,"1. to take a wife
2. to marry (a woman)
",3
636,婚姻,hūn yīn,"1. matrimony
2. wedding
3. marriage
4. CL:樁|桩[zhuang1],次[ci4]
",11
637,婚礼,hūn lǐ,"1. wedding ceremony
2. wedding
3. CL:場|场[chang3]
",13
638,媒体,méi tǐ,"1. media, esp. news media
",23
639,嫁,jià,"1. (of a woman) to marry
2. to marry off a daughter
3. to shift (blame etc)
",4
640,嫩,nèn,"1. tender
2. soft
3. delicate
4. light (color)
5. inexperienced
6. unskilled
7. old variant of 嫩[nen4]
8. tender
9. delicate
",4
641,字幕,zì mù,"1. caption
2. subtitle
",44
642,字母,zì mǔ,"1. letter (of the alphabet)
2. CL:個|个[ge4]
",43
643,存在,cún zài,"1. to exist
2. to be
3. existence
",24
644,孙子,sūn zi,"1. Sun Tzu, also known as Sun Wu 孫武|孙武[Sun1 Wu3] (c. 500 BC, dates of birth and death uncertain), general, strategist and philosopher of the Spring and Autumn Period (700-475 BC), believed to be the author of the “Art of War” 孫子兵法|孙子兵法[Sun1 zi3 Bing1 fa3], one of the Seven Military Classics of ancient China 武經七書|武经七书[Wu3 jing1 Qi1 shu1]
2. grandson
3. son's son
",10
645,孝顺,xiào shùn,"1. filial piety
2. to be obedient to one's parents
",44
646,学历,xué lì,"1. educational background
2. academic qualifications
",24
647,学期,xué qī,"1. term
2. semester
3. CL:個|个[ge4]
",21
648,学术,xué shù,"1. learning
2. science
3. academic
4. CL:個|个[ge4]
",24
649,学问,xué wèn,"1. learning
2. knowledge
3. CL:個|个[ge4]
",24
650,宁可,nìng kě,"1. preferably
2. one would prefer to...(or not to...)
3. would rather
4. (would) be better to
5. (to pick) the lesser of two evils
",43
651,安宁,ān níng,"1. Anning District of Lanzhou City 蘭州市|兰州市[Lan2 zhou1 Shi4], Gansu
2. peaceful
3. tranquil
4. calm
5. composed
6. free from worry
",12
652,安慰,ān wèi,"1. to comfort
2. to console
3. CL:個|个[ge4]
",14
653,安置,ān zhì,"1. to find a place for
2. to help settle down
3. to arrange for
4. to get into bed
5. placement
",14
654,安装,ān zhuāng,"1. to install
2. to erect
3. to fix
4. to mount
5. installation
",11
655,安详,ān xiáng,"1. serene
",12
656,完全,wán quán,"1. complete
2. whole
3. totally
4. entirely
",22
657,完善,wán shàn,"1. perfect
2. to make perfect
3. to improve
",24
658,完整,wán zhěng,"1. complete
2. intact
",23
659,完美,wán měi,"1. perfect
2. perfection
3. perfectly
",23
660,官,guān,"1. surname Guan
2. government official
3. governmental
4. official
5. public
6. organ of the body
7. CL:個|个[ge4]
",1
661,定义,dìng yì,"1. definition
",44
662,定期,dìng qī,"1. at set dates
2. at regular intervals
3. periodic
4. limited to a fixed period of time
5. fixed term
",41
663,宝贝,bǎo bèi,"1. treasured object
2. treasure
3. darling
4. baby
5. cowry
6. good-for-nothing or queer character
",34
664,宝贵,bǎo guì,"1. valuable
2. precious
3. to value
4. to treasure
5. to set store by
",34
665,实习,shí xí,"1. to practice
2. field work
3. to intern
4. internship
",22
666,实在,shí zài,"1. really
2. actually
3. indeed
4. true
5. real
6. honest
7. dependable
8. (philosophy) reality
",24
667,实现,shí xiàn,"1. to achieve
2. to implement
3. to realize
4. to bring about
",24
668,实用,shí yòng,"1. practical
2. functional
3. pragmatic
4. applied (science)
",24
669,实话,shí huà,"1. truth
",24
670,实践,shí jiàn,"1. to practice
2. to put into practice
3. to fulfill
",24
671,实际,shí jì,"1. reality
2. practice
3. practical
4. realistic
5. real
6. actual
",24
672,实验,shí yàn,"1. experiment
2. test
3. CL:個|个[ge4],次[ci4]
4. experimental
5. to experiment
",24
673,宠物,chǒng wù,"1. house pet
",34
674,审判,shěn pàn,"1. a trial
2. to try sb
",34
675,审查,shěn chá,"1. to examine
2. to investigate
3. to censor out
4. censorship
",32
676,审理,shěn lǐ,"1. to hear (a case)
",33
677,审美,shěn měi,"1. esthetics
2. appreciating the arts
3. taste
",33
678,客观,kè guān,"1. objective
2. impartial
",41
679,宣传,xuān chuán,"1. to disseminate
2. to give publicity to
3. propaganda
4. CL:個|个[ge4]
",12
680,宣布,xuān bù,"1. to declare
2. to announce
3. to proclaim
",14
681,宴会,yàn huì,"1. banquet
2. feast
3. dinner party
4. CL:席[xi2],個|个[ge4]
",44
682,家,Jiā,"1. see 傢伙|家伙[jia1 huo5]
2. surname Jia
3. home
4. family
5. (polite) my (sister, uncle etc)
6. classifier for families or businesses
7. refers to the philosophical schools of pre-Han China
8. noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian
9. CL:個|个[ge4]
",1
683,家乡,jiā xiāng,"1. hometown
2. native place
3. CL:個|个[ge4]
",11
684,家务,jiā wù,"1. household duties
2. housework
",14
685,家庭,jiā tíng,"1. family
2. household
3. CL:戶|户[hu4],個|个[ge4]
",12
686,宽,kuān,"1. surname Kuan
2. lenient
3. wide
4. broad
",1
687,宿舍,sù shè,"1. dormitory
2. dorm room
3. living quarters
4. hostel
5. CL:間|间[jian1]
",44
688,寂寞,jì mò,"1. lonely
2. lonesome
3. (of a place) quiet
4. silent
",44
689,密切,mì qiè,"1. close
2. familiar
3. intimate
4. closely (related)
5. to foster close ties
6. to pay close attention
",44
690,对付,duì fu,"1. to handle
2. to deal with
3. to cope
4. to get by with
",40
691,对应,duì yìng,"1. to correspond
2. a correspondence
3. corresponding
4. homologous
5. matching with sth
6. counterpart
",44
692,对待,duì dài,"1. to treat
2. treatment
",44
693,对手,duì shǒu,"1. opponent
2. rival
3. competitor
4. (well-matched) adversary
5. match
",43
694,对抗,duì kàng,"1. to withstand
2. to resist
3. to stand off
4. antagonism
5. confrontation
",44
695,对方,duì fāng,"1. counterpart
2. other person involved
3. opposite side
4. other side
5. receiving party
",41
696,对比,duì bǐ,"1. to contrast
2. contrast
3. ratio
4. CL:個|个[ge4]
",43
697,对照,duì zhào,"1. to contrast
2. to compare
3. to place side by side for comparison (as parallel texts)
4. to check
",44
698,对称,duì chèn,"1. symmetry
2. symmetrical
",44
699,对立,duì lì,"1. to oppose
2. to set sth against
3. to be antagonistic to
4. antithetical
5. relative opposite
6. opposing
7. diametrical
",44
700,对策,duì cè,"1. countermeasure for dealing with a situation
",44
701,对联,duì lián,"1. rhyming couplet
2. pair of lines of verse written vertically down the sides of a doorway
3. CL:副[fu4],幅[fu2]
",42
702,对象,duì xiàng,"1. target
2. object
3. partner
4. boyfriend
5. girlfriend
6. CL:個|个[ge4]
",44
703,寻找,xún zhǎo,"1. to seek
2. to look for
",23
704,导向,dǎo xiàng,"1. to be oriented towards
2. orientation
",34
705,导弹,dǎo dàn,"1. guided missile
2. cruise missile
3. missile
4. CL:枚[mei2]
",34
706,导演,dǎo yǎn,"1. to direct
2. director (film etc)
",33
707,导致,dǎo zhì,"1. to lead to
2. to create
3. to cause
4. to bring about
",34
708,导航,dǎo háng,"1. navigation
",32
709,寿命,shòu mìng,"1. life span
2. life expectancy
3. lifetime (of a machine)
",44
710,射击,shè jī,"1. to shoot
2. to fire (a gun)
",41
711,尊敬,zūn jìng,"1. to respect
2. to revere
",14
712,尊重,zūn zhòng,"1. to esteem
2. to respect
3. to honor
4. to value
5. eminent
6. serious
7. proper
",14
713,小吃,xiǎo chī,"1. snack
2. refreshments
3. CL:家[jia1]
",31
714,小气,xiǎo qì,"1. stingy
2. petty
3. miserly
4. narrow-minded
",34
715,小说,xiǎo shuō,"1. novel
2. fiction
3. CL:本[ben3],部[bu4]
",31
716,小麦,xiǎo mài,"1. wheat
2. CL:粒[li4]
",34
717,尝试,cháng shì,"1. to try
2. to attempt
3. CL:次[ci4]
",24
718,尤其,yóu qí,"1. especially
2. particularly
",22
719,尺子,chǐ zi,"1. rule
2. ruler (measuring instrument)
3. CL:把[ba3]
",30
720,尽力,jìn lì,"1. to strive one's hardest
2. to spare no effort
",44
721,尽快,jǐn kuài,"1. as quickly as possible
2. as soon as possible
3. with all speed
4. also written 盡快|尽快
5. see 盡快|尽快[jin3 kuai4]
6. as quickly as possible
7. as soon as possible
8. with all speed
",34
722,尽量,jǐn liàng,"1. as much as possible
2. to the greatest extent
3. as much as possible
4. to the greatest extent
",34
723,尾巴,wěi ba,"1. tail
2. colloquial pr. [yi3 ba5]
",30
724,层次,céng cì,"1. layer
2. level
3. gradation
4. arrangement of ideas
5. (a person's) standing
",24
725,居然,jū rán,"1. unexpectedly
2. to one's surprise
3. go so far as to
",12
726,届,jiè,"1. to arrive at (place or time)
2. period
3. to become due
4. classifier for events, meetings, elections, sporting fixtures, years (of graduation)
",4
727,屋子,wū zi,"1. house
2. room
3. CL:間|间[jian1]
",10
728,展开,zhǎn kāi,"1. to unfold
2. to carry out
3. to be in full swing
4. to launch
",31
729,展览,zhǎn lǎn,"1. to put on display
2. to exhibit
3. exhibition
4. show
5. CL:個|个[ge4],次[ci4]
",33
730,属于,shǔ yú,"1. to be classified as
2. to belong to
3. to be part of
",32
731,岔,chà,"1. fork in road
2. bifurcation
3. branch in road, river, mountain range etc
4. to branch off
5. to turn off
6. to diverge
7. to stray (from the path)
8. to change the subject
9. to interrupt
10. to stagger (times)
",4
732,岛屿,dǎo yǔ,"1. island
",33
733,岸,àn,"1. variant of 岸[an4]
2. bank
3. shore
4. beach
5. coast
6. CL:個|个[ge4]
",4
734,崇拜,chóng bài,"1. to worship
2. adoration
",24
735,崇敬,chóng jìng,"1. to revere
2. to venerate
3. high esteem
",24
736,崇高,chóng gāo,"1. majestic
2. sublime
",21
737,崩溃,bēng kuì,"1. to collapse
2. to crumble
3. to fall apart
",14
738,巢穴,cháo xué,"1. lair
2. nest
3. den
4. hideout
",22
739,工业,gōng yè,"1. industry
",14
740,工人,gōng rén,"1. worker
2. CL:個|个[ge4],名[ming2]
",12
741,工作,gōng zuò,"1. to work
2. (of a machine) to operate
3. job
4. work
5. task
6. CL:個|个[ge4],份[fen4],項|项[xiang4]
",14
742,工具,gōng jù,"1. tool
2. instrument
3. utensil
4. means (to achieve a goal etc)
",14
743,工厂,gōng chǎng,"1. factory
2. CL:家[jia1],座[zuo4]
",13
744,左右,zuǒ yòu,"1. left and right
2. nearby
3. approximately
4. attendant
5. to control
6. to influence
",34
745,巧妙,qiǎo miào,"1. ingenious
2. clever
3. ingenuity
4. artifice
",34
746,巨大,jù dà,"1. huge
2. immense
3. very large
4. tremendous
5. gigantic
6. enormous
",44
747,差别,chā bié,"1. difference
2. distinction
3. diversity
4. disparity
",12
748,差距,chā jù,"1. disparity
2. gap
",14
749,巴结,bā jie,"1. to fawn on
2. to curry favor with
3. to make up to
",10
750,市场,shì chǎng,"1. marketplace
2. market (also in abstract)
",43
751,布,bù,"1. variant of 布[bu4]
2. to announce
3. to spread
4. cloth
5. to declare
6. to announce
7. to spread
8. to make known
",4
752,布告,bù gào,"1. posting on a bulletin board
2. notice
3. bulletin
4. to announce
",44
753,布局,bù jú,"1. arrangement
2. composition
3. layout
4. opening (chess jargon)
",42
754,布置,bù zhì,"1. to put in order
2. to arrange
3. to decorate
4. to fix up
5. to deploy
",44
755,帅,shuài,"1. surname Shuai
2. handsome
3. graceful
4. smart
5. commander in chief
6. (coll.) cool!
7. sweet!
",4
756,师傅,shī fu,"1. master
2. qualified worker
3. respectful form of address for older men
4. CL:個|个[ge4],位[wei4],名[ming2]
",10
757,带领,dài lǐng,"1. to guide
2. to lead
",43
758,常识,cháng shí,"1. common sense
2. general knowledge
3. CL:門|门[men2]
",22
759,幅,fú,"1. width
2. roll
3. classifier for textiles or pictures
",2
760,干燥,gān zào,"1. to dry (of weather, paint, cement etc)
2. desiccation
3. dull
4. uninteresting
5. arid
",14
761,干脆,gān cuì,"1. straightforward
2. clear-cut
3. blunt (e.g. statement)
4. you might as well
5. simply
",14
762,平,píng,"1. surname Ping
2. flat
3. level
4. equal
5. to tie (make the same score)
6. to draw (score)
7. calm
8. peaceful
9. see also 平聲|平声[ping2 sheng1]
",2
763,平均,píng jūn,"1. average
2. on average
3. evenly
4. in equal proportions
",21
764,平安,píng ān,"1. safe and sound
2. well
3. without mishap
4. quiet and safe
5. at peace
",21
765,平常,píng cháng,"1. ordinary
2. common
3. usually
4. ordinarily
",22
766,平方,píng fāng,"1. square (as in square foot, square mile, square root)
",21
767,平时,píng shí,"1. ordinarily
2. in normal times
3. in peacetime
",22
768,平等,píng děng,"1. equal
2. equality
",23
769,平衡,píng héng,"1. balance
2. equilibrium
",22
770,平静,píng jìng,"1. tranquil
2. undisturbed
3. serene
",24
771,年代,nián dài,"1. a decade of a century (e.g. the Sixties)
2. age
3. era
4. period
5. CL:個|个[ge4]
",24
772,年纪,nián jì,"1. age
2. CL:把[ba3],個|个[ge4]
",24
773,并列,bìng liè,"1. to stand side by side
2. to be juxtaposed
",44
774,并非,bìng fēi,"1. really isn't
",41
775,幸亏,xìng kuī,"1. fortunately
2. luckily
",41
776,幸福,xìng fú,"1. happiness
2. happy
3. blessed
",42
777,幸运,xìng yùn,"1. fortunate
2. lucky
3. fortune
4. luck
",44
778,幻想,huàn xiǎng,"1. delusion
2. fantasy
",43
779,幽默,yōu mò,"1. (loanword) humor
2. humorous
",14
780,广场,guǎng chǎng,"1. public square
2. plaza
",33
781,广大,guǎng dà,"1. (of an area) vast or extensive
2. large-scale
3. widespread
4. (of people) numerous
",34
782,广泛,guǎng fàn,"1. extensive
2. wide range
",34
783,庆祝,qìng zhù,"1. to celebrate
",44
784,床单,chuáng dān,"1. bed sheet
2. CL:條|条[tiao2],件[jian4],張|张[zhang1],床[chuang2]
",21
785,应付,yìng fu,"1. to deal with
2. to cope
",40
786,应用,yìng yòng,"1. to use
2. to apply
3. application
4. applicable
",44
787,应聘,yìng pìn,"1. to accept a job offer
2. to apply for an advertised position
",44
788,废话,fèi huà,"1. nonsense
2. rubbish
3. superfluous words
4. You don't say!
5. No kidding! (gently sarcastic)
",44
789,度过,dù guò,"1. to pass
2. to spend (time)
3. to survive
4. to get through
",44
790,座,zuò,"1. seat
2. base
3. stand
4. CL:個|个[ge4]
5. classifier for buildings, mountains and similar immovable objects
",4
791,座位,zuò wèi,"1. seat
2. CL:個|个[ge4]
",44
792,延长,yán cháng,"1. Yanchang county in Yan'an 延安[Yan2 an1], Shaanxi
2. to prolong
3. to extend
4. to delay
",22
793,建立,jiàn lì,"1. to establish
2. to set up
3. to found
",44
794,建筑,jiàn zhù,"1. to construct
2. building
3. CL:個|个[ge4]
",44
795,建设,jiàn shè,"1. to build
2. to construct
3. construction
4. constructive
",44
796,开发,kāi fā,"1. to exploit (a resource)
2. to open up (for development)
3. to develop
",11
797,开放,kāi fàng,"1. to bloom
2. to open
3. to be open (to the public)
4. to open up (to the outside)
5. to be open-minded
6. unrestrained by convention
7. unconstrained in one's sexuality
",14
798,开水,kāi shuǐ,"1. boiled water
2. boiling water
",13
799,弊端,bì duān,"1. malpractice
2. abuse
3. corrupt practice
",41
